curbweight,enginesize,horsepower,citympg,highwaympg,price
3197,152,95,28,33,13200.0
3230,120,97,19,24,12440.0
3430,152,95,25,25,13860.0
3075,120,95,19,24,15580.0
3252,152,95,28,33,16900.0
3285,120,95,19,24,16695.0
3485,152,95,25,25,17075.0
3075,120,97,19,24,16630.0
3252,152,95,28,33,17950.0
3130,134,142,18,24,18150.0
1918,90,68,37,41,5572.0
2128,98,102,24,30,7957.0
1967,90,68,31,38,6229.0
1989,90,68,31,38,6692.0
2191,98,68,31,38,7609.0
2535,122,88,24,30,8921.0
2818,156,145,19,24,12764.0
2778,151,143,19,27,22018.0
2756,194,207,17,25,32528.0
2756,194,207,17,25,34028.0
2800,194,207,17,25,37028.0
3366,203,288,17,28,31400.5
2579,132,90,23,31,9295.0
2460,132,90,23,31,9895.0
2658,121,110,21,28,11850.0
2695,121,110,21,28,12170.0
2707,121,110,21,28,15040.0
2758,121,110,21,28,15510.0
2808,121,160,19,26,18150.0
2847,121,160,19,26,18620.0
2050,97,69,31,36,5118.0
2120,108,73,26,31,7053.0
2240,108,73,26,31,7603.0
2145,108,82,32,37,7126.0
2190,108,82,28,33,7775.0
2340,108,94,26,32,9960.0
2385,108,82,24,25,9233.0
2510,108,111,24,29,11259.0
2290,108,82,28,32,7463.0
2455,108,94,25,31,10198.0
2420,108,82,23,29,8013.0
2650,108,111,23,23,11694.0
1985,92,62,35,39,5348.0
2040,92,62,31,38,6338.0
2015,92,62,31,38,6488.0
2280,92,62,31,37,6918.0
2290,92,62,27,32,7898.0
3110,92,62,27,32,8778.0
2081,98,70,30,37,6938.0
2109,98,70,30,37,7198.0
2275,110,56,34,36,7898.0
2275,110,56,38,47,7788.0
2094,98,70,38,47,7738.0
2122,98,70,28,34,8358.0
2140,98,70,28,34,9258.0
2169,98,70,29,34,8058.0
2204,98,70,29,34,8238.0
2265,98,112,26,29,9298.0
2300,98,112,26,29,9538.0
2540,146,116,24,30,8449.0
2536,146,116,24,30,9639.0
2551,146,116,24,30,9989.0
2679,146,116,24,30,11199.0
2714,146,116,24,30,11549.0
2975,146,116,24,30,17669.0
2326,122,92,29,34,8948.0
2480,110,73,30,33,10698.0
2414,122,92,27,32,9988.0
2414,122,92,27,32,10898.0
2458,122,92,27,32,11248.0
2976,171,161,20,24,16558.0
3016,171,161,19,24,15998.0
3131,171,156,20,24,15690.0
3151,161,156,19,24,15750.0
2261,97,52,37,46,7775.0
2209,109,85,27,34,7975.0
2264,97,52,37,46,7995.0
2212,109,85,27,34,8195.0
2275,109,85,27,34,8495.0
2319,97,68,37,42,9495.0
2300,109,100,26,32,9995.0
2254,109,90,24,29,11595.0
2221,109,90,24,29,9980.0
2661,136,110,19,24,13295.0
2579,97,68,33,38,13845.0
2563,109,88,25,31,12290.0
2912,141,114,23,28,12940.0
3034,141,114,23,28,13415.0
2935,141,114,24,28,15985.0
3042,141,114,24,28,16515.0
3045,130,162,17,22,18420.0
3157,130,162,17,22,18950.0
2952,141,114,23,28,16845.0
3049,141,160,19,25,19045.0
3012,173,134,18,23,21485.0
3217,145,106,26,27,22470.0
3062,141,114,19,25,22625.0
