Unnamed: 0,curbweight,enginesize,horsepower,citympg,highwaympg,price
110,3430,152,95,25,25,13860.0
111,3075,120,95,19,24,15580.0
112,3252,152,95,28,33,16900.0
113,3285,120,95,19,24,16695.0
114,3485,152,95,25,25,17075.0
115,3075,120,97,19,24,16630.0
116,3252,152,95,28,33,17950.0
117,3130,134,142,18,24,18150.0
118,1918,90,68,37,41,5572.0
119,2128,98,102,24,30,7957.0
120,1967,90,68,31,38,6229.0
121,1989,90,68,31,38,6692.0
122,2191,98,68,31,38,7609.0
123,2535,122,88,24,30,8921.0
124,2818,156,145,19,24,12764.0
125,2778,151,143,19,27,22018.0
126,2756,194,207,17,25,32528.0
127,2756,194,207,17,25,34028.0
128,2800,194,207,17,25,37028.0
129,3366,203,288,17,28,31400.5
130,2579,132,90,23,31,9295.0
131,2460,132,90,23,31,9895.0
132,2658,121,110,21,28,11850.0
133,2695,121,110,21,28,12170.0
134,2707,121,110,21,28,15040.0
135,2758,121,110,21,28,15510.0
136,2808,121,160,19,26,18150.0
137,2847,121,160,19,26,18620.0
138,2050,97,69,31,36,5118.0
139,2120,108,73,26,31,7053.0
140,2240,108,73,26,31,7603.0
141,2145,108,82,32,37,7126.0
142,2190,108,82,28,33,7775.0
143,2340,108,94,26,32,9960.0
144,2385,108,82,24,25,9233.0
145,2510,108,111,24,29,11259.0
146,2290,108,82,28,32,7463.0
147,2455,108,94,25,31,10198.0
148,2420,108,82,23,29,8013.0
149,2650,108,111,23,23,11694.0
150,1985,92,62,35,39,5348.0
151,2040,92,62,31,38,6338.0
152,2015,92,62,31,38,6488.0
153,2280,92,62,31,37,6918.0
154,2290,92,62,27,32,7898.0
155,3110,92,62,27,32,8778.0
156,2081,98,70,30,37,6938.0
157,2109,98,70,30,37,7198.0
158,2275,110,56,34,36,7898.0
159,2275,110,56,38,47,7788.0
160,2094,98,70,38,47,7738.0
161,2122,98,70,28,34,8358.0
162,2140,98,70,28,34,9258.0
163,2169,98,70,29,34,8058.0
164,2204,98,70,29,34,8238.0
165,2265,98,112,26,29,9298.0
166,2300,98,112,26,29,9538.0
167,2540,146,116,24,30,8449.0
168,2536,146,116,24,30,9639.0
169,2551,146,116,24,30,9989.0
170,2679,146,116,24,30,11199.0
171,2714,146,116,24,30,11549.0
172,2975,146,116,24,30,17669.0
173,2326,122,92,29,34,8948.0
174,2480,110,73,30,33,10698.0
175,2414,122,92,27,32,9988.0
176,2414,122,92,27,32,10898.0
177,2458,122,92,27,32,11248.0
178,2976,171,161,20,24,16558.0
179,3016,171,161,19,24,15998.0
180,3131,171,156,20,24,15690.0
181,3151,161,156,19,24,15750.0
182,2261,97,52,37,46,7775.0
183,2209,109,85,27,34,7975.0
184,2264,97,52,37,46,7995.0
185,2212,109,85,27,34,8195.0
186,2275,109,85,27,34,8495.0
187,2319,97,68,37,42,9495.0
188,2300,109,100,26,32,9995.0
189,2254,109,90,24,29,11595.0
190,2221,109,90,24,29,9980.0
191,2661,136,110,19,24,13295.0
192,2579,97,68,33,38,13845.0
193,2563,109,88,25,31,12290.0
194,2912,141,114,23,28,12940.0
195,3034,141,114,23,28,13415.0
196,2935,141,114,24,28,15985.0
197,3042,141,114,24,28,16515.0
198,3045,130,162,17,22,18420.0
199,3157,130,162,17,22,18950.0
200,2952,141,114,23,28,16845.0
201,3049,141,160,19,25,19045.0
202,3012,173,134,18,23,21485.0
203,3217,145,106,26,27,22470.0
204,3062,141,114,19,25,22625.0
